skill,usefulness_1_10,current_surface,recommendation,target_or_agent_bundle,captured_explicit_requests
ad-advisor,9,artifact,keep-domain,advertising-specialist,0
ad-impl-plan,9,artifact,keep-domain,advertising-specialist,0
advise,9,shortcut,keep-shortcut,operator,0
agency-opportunity-research,8,artifact,keep-domain,growth-specialist,0
agent-qa-test,9,artifact,keep-core,qa-tester,0
agent-testability-plan,7,artifact,keep-domain,planner-agent,0
ai-image-advisor,8,artifact,keep-domain,asset-generator,0
ai-video-advisor,8,artifact,keep-domain,asset-generator,0
apify,7,integration,keep-integration,deep-researcher,0
asset-advisor,9,artifact,keep-domain,asset-generator,0
audio-advisor,8,artifact,keep-domain,asset-generator,0
automation-advisor,8,artifact,keep-core,operations-specialist,0
avatar-advisor,7,artifact,keep-domain,asset-generator,0
bash-efficiency,4,inline,retire,native-shell-guidance-and-bash-operator,0
best-of-worlds,7,artifact,keep-domain,deep-researcher,0
brainstorm,10,shortcut,keep-shortcut,operator,7
budget-advisor,8,artifact,keep-core,ensemble-system,0
close-ticket,10,artifact,keep-core,operations-specialist,0
code-audit,8,artifact,keep-core,planner-agent,0
code-review,9,artifact,keep-core,reviewer,0
codebase-analysis,8,artifact,keep-core,explore,0
coderabbit-review,6,integration,keep-integration,reviewer,0
commit-message,7,shortcut,keep-shortcut,operator,0
consolidate,9,artifact,keep-core,documentation-maintainer,0
content-impl-plan,9,artifact,keep-domain,content-specialist,0
convex,7,integration,keep-integration,convex-builder,0
copywriting-advisor,8,artifact,keep-domain,content-specialist,0
customer-research,9,artifact,keep-domain,growth-specialist,0
deep-interview,8,shortcut,keep-shortcut,operator,0
deep-system-design,9,artifact,keep-domain,planner-agent,0
delegate-cli,7,integration,keep-integration,operations-specialist,0
deliberative-advice,7,shortcut,keep-shortcut,operator,0
demo,9,artifact,keep-core,qa-tester,0
demo-realism,8,artifact,keep-domain,frontend-designer,0
diagramming,8,shortcut,keep-shortcut,operator,0
doc-advisor,8,artifact,keep-core,documentation-maintainer,0
dogfood-review,7,artifact,keep-domain,harness-specialist,0
editing-advisor,8,artifact,keep-domain,asset-generator,0
eval,10,artifact,keep-core,qa-tester,0
execute,1,inline,retire,native-execution-phase,0
external-patterns,6,artifact,merge,research,0
feed-scout,8,artifact,keep-domain,deep-researcher,0
find-skills,3,inline,retire,native-skill-and-plugin-discovery,0
first-value-outreach,8,artifact,keep-domain,growth-specialist,0
functional-ui,9,artifact,keep-domain,frontend-designer,0
gap-analysis,8,artifact,keep-core,reviewer,0
goal-advisor,10,artifact,keep-core,operations-specialist,0
hardening,9,artifact,keep-core,reviewer,0
harness-advisor,10,artifact,keep-core,harness-specialist,0
harness-creator,8,artifact,keep-core,harness-specialist,0
harness-scout,7,artifact,keep-core,harness-specialist,0
hatch-pet,6,artifact,keep-domain,asset-generator,0
impl-plan,10,artifact,keep-core,planner-agent,8
infographic,7,artifact,keep-domain,content-specialist,0
ingest-content,8,artifact,keep-domain,content-specialist,0
init-advisor,9,artifact,keep-core,harness-specialist,0
instagram-account,8,integration,keep-integration,content-specialist,0
intelligest,8,artifact,keep-domain,deep-researcher,0
interior-design,6,artifact,keep-domain,frontend-designer,0
interval-update,9,artifact,keep-core,operations-specialist,0
knowledge-tidier,6,artifact,merge,consolidate,0
landing-page,9,artifact,keep-domain,frontend-designer,0
lead-scout,8,artifact,keep-domain,growth-specialist,0
lean-check,10,artifact,keep-core,reviewer,0
learn-from-video,7,artifact,keep-domain,deep-researcher,0
leverage-advisor,7,artifact,keep-core,harness-specialist,0
leverage-rollout,7,artifact,keep-domain,harness-specialist,0
manage-wiki,8,integration,keep-integration,documentation-maintainer,0
media-ingest,7,integration,keep-integration,deep-researcher,0
meshy-3d-generation,6,integration,keep-integration,asset-generator,0
meta-ads,8,integration,keep-integration,advertising-specialist,0
metric-advisor,9,artifact,keep-core,planner-agent,0
ml-autoresearch,7,artifact,keep-domain,harness-specialist,0
newsletter-writer,7,artifact,keep-domain,content-specialist,0
notion-task-field-fill,8,integration,keep-integration,operations-specialist,0
optimize-harness,8,artifact,keep-core,harness-specialist,0
optimize-with-human,7,artifact,keep-domain,harness-specialist,0
outreach-impl-plan,8,artifact,keep-domain,growth-specialist,0
personalized-offer,9,artifact,keep-domain,growth-specialist,0
phone-chaser,7,integration,keep-integration,operations-specialist,0
plan,3,inline,retire,native-planning-phase,0
plan-next-wave,8,artifact,keep-core,operations-specialist,0
pr-review-watch,8,integration,keep-integration,reviewer,0
pr-splitting,7,artifact,keep-core,planner-agent,0
prd,10,artifact,keep-core,planner-agent,0
problem-framing,8,shortcut,keep-shortcut,operator,0
product-backbrief,8,artifact,keep-domain,planner-agent,0
product-photography,7,artifact,keep-domain,asset-generator,0
proof-advisor,8,artifact,keep-core,qa-tester,0
proposal-pricing,8,artifact,keep-domain,growth-specialist,0
prototyping,8,artifact,keep-core,planner-agent,0
pulse-update,9,artifact,keep-core,operations-specialist,0
qa,10,artifact,keep-core,qa-tester,0
reel-collage,6,artifact,keep-domain,asset-generator,0
refactoring,9,artifact,keep-core,reviewer,0
reference-grounding,9,artifact,keep-core,deep-researcher,0
remotion,8,artifact,keep-domain,asset-generator,0
remotion-render,7,integration,keep-integration,asset-generator,0
research,10,artifact,keep-core,deep-researcher,0
reshape-feasible,7,shortcut,keep-shortcut,operator,0
review,10,artifact,keep-core,reviewer,0
runtime-debugging,9,artifact,keep-core,bash-operator,0
self-improve,7,artifact,keep-core,harness-specialist,0
seo-content-advisor,7,artifact,keep-domain,content-specialist,0
setup-advisor,9,artifact,keep-core,operations-specialist,0
skill-creator,8,artifact,keep-core,harness-specialist,0
skill-maintenance,10,artifact,keep-core,harness-specialist,0
skill-registry-ui,6,shortcut,keep-shortcut,operator,0
social-content,8,artifact,keep-domain,content-specialist,0
solution-shaping,8,artifact,keep-domain,growth-specialist,0
spec-to-ticket,8,artifact,keep-core,planner-agent,0
storyboard,9,artifact,keep-domain,content-specialist,0
summarize,4,inline,retire,inline-summarize-cli-command-in-caller,0
task-recap,8,shortcut,keep-shortcut,operator,0
telegram-message,9,integration,keep-integration,operations-specialist,0
testing,4,inline,retire,native-testing-selection-and-proof-workflows,0
unslop,10,shortcut,keep-shortcut,operator,0
vercel-react-best-practices,7,integration,keep-integration,frontend-designer,0
video-understanding,7,artifact,keep-domain,deep-researcher,0
visual-design,8,artifact,keep-domain,frontend-designer,0
visual-qa,9,artifact,keep-core,qa-tester,0
visual-reasoning,7,artifact,keep-domain,deep-researcher,0
web-design-guidelines,7,integration,keep-integration,frontend-designer,0
worker-artifact-review-request,7,integration,keep-integration,operations-specialist,0
x-account,8,integration,keep-integration,content-specialist,0
